Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Maize,1995,86063,837.2,47753.03,27.52
Albania,Maize,1996,88200,1147.2,76971.87,28.63
Albania,Maize,1997,98209,962.0,49437.75,26.17
Albania,Maize,1998,102322,519.0,55240.95,28.53
Albania,Maize,1999,105783,1003.6,59321.03,25.83
Albania,Maize,2000,108243,963.3,67235.08,27.97
Albania,Maize,2001,90588,1132.7,49238.85,26.19
Albania,Maize,2002,108978,977.8,45518.98,28.53
Albania,Maize,2003,87921,889.1,66590.6,26.76
Albania,Maize,2004,99806,1067.3,75531.02,27.64
Albania,Maize,2005,128293,1733.0,50474.17,28.92
Albania,Maize,2006,92256,1173.9,89440.9,28.43
Albania,Maize,2007,120738,907.8,55273.11,24.48
Albania,Maize,2008,93135,837.5,69695.23,25.61
Albania,Maize,2009,118945,1265.9,79635.29,28.43
Albania,Maize,2010,121100,1096.2,47438.1,26.02
Albania,Maize,2011,93331,814.0,44800.91,28.77
Albania,Maize,2012,129530,1409.3,75175.17,25.58
Albania,Maize,2013,117000,925.5,79284.49,26.89
Albania,Potatoes,1995,221539,1410.8,65557.79,27.56
Albania,Potatoes,1996,173958,998.1,45337.61,26.92
Albania,Potatoes,1997,233437,777.7,66576.56,28.68
Albania,Potatoes,1998,199921,976.2,79714.37,24.62
Albania,Potatoes,1999,245453,1051.1,48508.52,26.33
Albania,Potatoes,2000,239054,1212.1,86063.7,28.87
Albania,Potatoes,2001,209834,1407.6,87481.94,27.3
Albania,Potatoes,2002,239597,1053.3,62882.82,26.43
Albania,Potatoes,2003,171769,529.7,52197.71,27.57
Albania,Potatoes,2004,218025,1217.5,57646.22,26.75
Albania,Potatoes,2005,244000,914.3,91951.44,29.26
Albania,Potatoes,2006,204084,1121.7,56709.54,24.34
Albania,Potatoes,2007,182989,1152.3,67466.02,26.32
Albania,Potatoes,2008,189003,1238.9,53717.68,26.6
Albania,Potatoes,2009,228378,1212.6,53969.1,27.0
Albania,Potatoes,2010,201053,971.2,79713.61,28.25
Albania,Potatoes,2011,184519,1455.0,69690.42,29.24
Albania,Potatoes,2012,172647,1041.3,51401.88,28.49
Albania,Potatoes,2013,216317,1529.3,42565.2,28.41
Albania,"Rice, paddy",1995,101468,1224.6,48721.37,25.06
Albania,"Rice, paddy",1996,87385,1222.3,46899.32,26.76
Albania,"Rice, paddy",1997,102006,1011.3,74557.23,27.9
Albania,"Rice, paddy",1998,76204,1393.9,52638.4,31.08
Albania,"Rice, paddy",1999,94124,781.0,58416.98,28.92
Albania,"Rice, paddy",2000,78981,1237.7,44565.73,28.96
Albania,"Rice, paddy",2001,76782,1155.6,40735.65,28.37
Albania,"Rice, paddy",2002,101793,1148.3,76839.2,25.07
Albania,"Rice, paddy",2003,89243,1275.4,52995.78,25.49
Albania,"Rice, paddy",2004,98756,1287.2,85371.63,29.04
