area,year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,item,value_hg_ha
Albania,1990,1485,121,16.37,Maize,36613
Albania,1990,1485,121,16.37,Potatoes,66667
Albania,1990,1485,121,16.37,"Rice, paddy",23333
Albania,1990,1485,121,16.37,Sorghum,12500
Albania,1990,1485,121,16.37,Soybeans,7000
Albania,1990,1485,121,16.37,Wheat,30197
Albania,1991,1485,121,15.36,Maize,29068
Albania,1991,1485,121,15.36,Potatoes,77818
Albania,1991,1485,121,15.36,"Rice, paddy",28538
Albania,1991,1485,121,15.36,Sorghum,6667
Albania,1991,1485,121,15.36,Soybeans,6066
Albania,1991,1485,121,15.36,Wheat,20698
Albania,1992,1485,121,16.06,Maize,24876
Albania,1992,1485,121,16.06,Potatoes,82920
Albania,1992,1485,121,16.06,"Rice, paddy",40000
Albania,1992,1485,121,16.06,Sorghum,3747
Albania,1992,1485,121,16.06,Soybeans,4507
Albania,1992,1485,121,16.06,Wheat,24388
Albania,1993,1485,121,16.05,Maize,24185
Albania,1993,1485,121,16.05,Potatoes,98446
Albania,1993,1485,121,16.05,"Rice, paddy",41786
Albania,1993,1485,121,16.05,Soybeans,7998
Albania,1993,1485,121,16.05,Wheat,29976
Albania,1994,1485,201,16.96,Maize,25848
Albania,1994,1485,201,16.96,Potatoes,81404
Albania,1994,1485,201,16.96,Soybeans,7927
Albania,1994,1485,201,16.96,Wheat,24745
Albania,1995,1485,251,15.67,Maize,31300
Albania,1995,1485,251,15.67,Potatoes,111323
Albania,1995,1485,251,15.67,Soybeans,11791
Albania,1995,1485,251,15.67,Wheat,28703
Albania,1996,1485,313.96,15.64,Maize,32604
Albania,1996,1485,313.96,15.64,Potatoes,106138
Albania,1996,1485,313.96,15.64,Soybeans,15480
Albania,1996,1485,313.96,15.64,Wheat,21741
Albania,1997,1485,376.93,15.9,Maize,31862
Albania,1997,1485,376.93,15.9,Potatoes,109874
Albania,1997,1485,376.93,15.9,Soybeans,12768
Albania,1997,1485,376.93,15.9,Wheat,28516
Albania,1998,1485,439.89,16.27,Maize,33416
Albania,1998,1485,439.89,16.27,Potatoes,127212
Albania,1998,1485,439.89,16.27,Soybeans,14327
Albania,1998,1485,439.89,16.27,Wheat,28037
Albania,1999,1485,502.86,16.57,Maize,37455
Albania,1999,1485,502.86,16.57,Potatoes,142018
Albania,1999,1485,502.86,16.57,Soybeans,17143
Albania,1999,1485,502.86,16.57,Wheat,24954
Albania,2000,1485,565.82,16.67,Maize,38811
Albania,2000,1485,565.82,16.67,Potatoes,141228
Albania,2000,1485,565.82,16.67,Soybeans,15000
Albania,2000,1485,565.82,16.67,Wheat,30455
Albania,2001,1485,628.79,16.59,Maize,38135
Albania,2001,1485,628.79,16.59,Potatoes,148818
Albania,2001,1485,628.79,16.59,Soybeans,20000
Albania,2001,1485,628.79,16.59,Wheat,28220
Albania,2002,1485,691.75,16.47,Maize,39460
Albania,2002,1485,691.75,16.47,Potatoes,153868
Albania,2002,1485,691.75,16.47,Soybeans,20000
Albania,2002,1485,691.75,16.47,Wheat,31617
Albania,2004,1485,817.68,16.16,Maize,46197
Albania,2004,1485,817.68,16.16,Potatoes,149346
Albania,2004,1485,817.68,16.16,Soybeans,13333
Albania,2004,1485,817.68,16.16,Wheat,31130
Albania,2005,1485,880.64,15.67,Maize,45442
Albania,2005,1485,880.64,15.67,Potatoes,167061
Albania,2005,1485,880.64,15.67,Soybeans,17500
Albania,2005,1485,880.64,15.67,Wheat,31582
Albania,2006,1485,943.61,15.92,Maize,50111
Albania,2006,1485,943.61,15.92,Potatoes,170745
Albania,2006,1485,943.61,15.92,Soybeans,20000
Albania,2006,1485,943.61,15.92,Wheat,30787
Albania,2007,1485,1006.57,16.67,Maize,46732
Albania,2007,1485,1006.57,16.67,Potatoes,188902
Albania,2007,1485,1006.57,16.67,Soybeans,20000
Albania,2007,1485,1006.57,16.67,Wheat,35496
Albania,2008,1485,1069.54,16.71,Maize,50000
Albania,2008,1485,1069.54,16.71,Potatoes,193878
Albania,2008,1485,1069.54,16.71,Soybeans,20000
Albania,2008,1485,1069.54,16.71,Wheat,40168
Albania,2009,1485,1132.5,16.73,Maize,55693
Albania,2009,1485,1132.5,16.73,Potatoes,219780
Albania,2009,1485,1132.5,16.73,Soybeans,16667
Albania,2009,1485,1132.5,16.73,Wheat,40229
Albania,2010,1485,1311.17,16.52,Maize,66790
Albania,2010,1485,1311.17,16.52,Potatoes,231111
Albania,2010,1485,1311.17,16.52,Soybeans,16667
Albania,2010,1485,1311.17,16.52,Wheat,39905
Albania,2011,1485,1302.63,16.45,Maize,59869
